# Injured,# Killed,Address,City Or County,Incident Date,Incident ID,Operations,State,Full Address,Latitude,Longitude
2,2,4900 block of Plover Ave,Saint Louis,2019-08-07,,,Missouri,"4900 block of Plover Ave Saint Louis, Missouri",38.69508800000001,-90.256312
4,0,216 Buffalo Ave,Brooklyn,2019-08-05,,,New York,"216 Buffalo Ave Brooklyn, New York",40.67175,-73.9254881
7,1,1800 S Kildare Ave,Chicago,2019-08-04,,,Illinois,"1800 S Kildare Ave Chicago, Illinois",41.8569164,-87.7325766
3,1,443 E Shelby Dr,Memphis,2019-08-04,,,Tennessee,"443 E Shelby Dr Memphis, Tennessee",35.02062799999999,-90.04922719999999
17,10,419 E 5th St,Dayton,2019-08-04,,,Ohio,"419 E 5th St Dayton, Ohio",39.7574041,-84.1843796
7,0,2900 block of W Roosevelt Rd,Chicago,2019-08-04,,,Illinois,"2900 block of W Roosevelt Rd Chicago, Illinois",41.8667752,-87.6985019
24,22,7101 Gateway Blvd,El Paso,2019-08-03,,,Texas,"7101 Gateway Blvd El Paso, Texas",31.7766542,-106.3847934
3,2,200 block of N Broad St,Suffolk,2019-08-02,,,Virginia,"200 block of N Broad St Suffolk, Virginia",36.7315724,-76.5931368
5,0,1280 E Long St,Columbus,2019-07-30,,,Ohio,"1280 E Long St Columbus, Ohio",39.9690292,-82.9671889
5,1,2600 block of Carroll St,Philadelphia,2019-07-28,,,Pennsylvania,"2600 block of Carroll St Philadelphia, Pennsylvania",39.9175573,-75.2336059
13,4,7050 Miller Ave,Gilroy,2019-07-28,,,California,"7050 Miller Ave Gilroy, California",36.9976936,-121.5854702
2,6,16964 54th Ave,Chippewa Falls (Lafayette),2019-07-28,,,Wisconsin,"16964 54th Ave Chippewa Falls (Lafayette), Wisconsin",44.9205224,-91.32783909999999
4,0,637 T St NW,Washington,2019-07-28,,,District of Columbia,"637 T St NW Washington, District of Columbia",38.9158142,-77.02135380000001
4,0,3938 W Roosevelt Rd,Chicago,2019-07-28,,,Illinois,"3938 W Roosevelt Rd Chicago, Illinois",41.8661792,-87.724397
3,1,505 N Rock Rd,Wichita,2019-07-27,,,Kansas,"505 N Rock Rd Wichita, Kansas",37.696061,-97.246144
11,1,1555 Linden Blvd,Brooklyn,2019-07-27,,,New York,"1555 Linden Blvd Brooklyn, New York",40.65648119999999,-73.90282189999999
3,1,E 10th Ave,Kennewick,2019-07-26,,,Washington,"E 10th Ave Kennewick, Washington",46.1981784,-119.1041854
2,4,21901 Roscoe Boulevard,Canoga Park,2019-07-25,,,California,"21901 Roscoe Boulevard Canoga Park, California",34.220124,-118.6047055
4,0,3900 block of Roosevelt Rd,Chicago,2019-07-21,,,Illinois,"3900 block of Roosevelt Rd Chicago, Illinois",41.8664388,-87.72286319999999
4,0,2300 block of 15th St NE,Washington,2019-07-21,,,District of Columbia,"2300 block of 15th St NE Washington, District of Columbia",38.9208864,-76.98241809999999
4,0,501 Waddell Ave,Clairton,2019-07-20,,,Pennsylvania,"501 Waddell Ave Clairton, Pennsylvania",40.2943206,-79.8865699
3,1,2800 block of Boarman Ave,Baltimore,2019-07-20,,,Maryland,"2800 block of Boarman Ave Baltimore, Maryland",39.3380816,-76.6678805
7,0,2401 N Lake Shore Dr,Chicago,2019-07-20,,,Illinois,"2401 N Lake Shore Dr Chicago, Illinois",41.9270754,-87.6306663
3,1,3427 W Fulton Blvd,Chicago,2019-07-18,,,Illinois,"3427 W Fulton Blvd Chicago, Illinois",41.8861073,-87.712267
3,0,N Elder Ave and E Colgate St,Lubbock,2019-07-17,,,Texas,"N Elder Ave and E Colgate St Lubbock, Texas",33.6024732,-101.8029804
4,0,6989 San Pedro Ave,San Antonio,2019-07-16,,,Texas,"6989 San Pedro Ave San Antonio, Texas",29.5076073,-98.4998754
4,0,1572 Hardee St NE,Atlanta,2019-07-15,,,Georgia,"1572 Hardee St NE Atlanta, Georgia",33.7555946,-84.3366827
4,0,4600 block of W Erie St,Chicago,2019-07-14,,,Illinois,"4600 block of W Erie St Chicago, Illinois",41.8925255,-87.74139459999999
4,1,7900 block of S Loomis Blvd,Chicago,2019-07-13,,,Illinois,"7900 block of S Loomis Blvd Chicago, Illinois",41.7504168,-87.65858349999999
7,0,5433 Lansdowne Ave,Philadelphia,2019-07-13,,,Pennsylvania,"5433 Lansdowne Ave Philadelphia, Pennsylvania",39.9773826,-75.23122430000001
4,0,5901 Royal Palms St,Houston,2019-07-11,,,Texas,"5901 Royal Palms St Houston, Texas",29.697754,-95.331251
2,2,3900 Martin Luther King Jr Ave SW,Washington,2019-07-08,,,District of Columbia,"3900 Martin Luther King Jr Ave SW Washington, District of Columbia",38.8324029,-77.0087428
6,0,Clio Rd and Myrtle St,Flint,2019-07-07,,,Michigan,"Clio Rd and Myrtle St Flint, Michigan",43.0503962,-83.73268619999999
5,0,N Tucker Blvd and Convention Plaza,Saint Louis,2019-07-07,,,Missouri,"N Tucker Blvd and Convention Plaza Saint Louis, Missouri",38.6332014,-90.19611049999999
4,0,5600 block of S Paulina St,Chicago,2019-07-07,,,Illinois,"5600 block of S Paulina St Chicago, Illinois",41.7921493,-87.6669876
4,0,600 block of W 61st Pl,Chicago,2019-07-07,,,Illinois,"600 block of W 61st Pl Chicago, Illinois",41.783262,-87.639763
4,0,211 Gold Ave SW,Albuquerque,2019-07-07,,,New Mexico,"211 Gold Ave SW Albuquerque, New Mexico",35.0835952,-106.6499235
4,0,3036 Quinto Way,San Jose,2019-07-06,,,California,"3036 Quinto Way San Jose, California",37.2680211,-121.9142008
0,5,1921 Chambers Rd,Saint Louis,2019-07-06,,,Missouri,"1921 Chambers Rd Saint Louis, Missouri",38.7494386,-90.2641321
6,0,Maple St,Boston,2019-07-05,,,Massachusetts,"Maple St Boston, Massachusetts",42.3083372,-71.0861374
5,0,1600 block of E 67th St,Chicago,2019-07-05,,,Illinois,"1600 block of E 67th St Chicago, Illinois",41.77334219999999,-87.5860926
3,1,600 block of Spokane St,Reno,2019-07-05,,,Nevada,"600 block of Spokane St Reno, Nevada",39.5346977,-119.8007613
4,0,Elton St and Belmont Ave,Brooklyn,2019-07-05,,,New York,"Elton St and Belmont Ave Brooklyn, New York",40.6724642,-73.883074
4,0,1100 block of Preston St,Rockford,2019-07-04,,,Illinois,"1100 block of Preston St Rockford, Illinois",42.2714764,-89.10634209999999
3,1,800 block of N Homan Ave,Chicago,2019-07-04,,,Illinois,"800 block of N Homan Ave Chicago, Illinois",41.8954986,-87.7114211
4,0,1900 block of Adair St,Los Angeles,2019-07-04,,,California,"1900 block of Adair St Los Angeles, California",34.0280185,-118.2582842
3,1,4700 block of E Hamilton Ave,Fresno,2019-07-04,,,California,"4700 block of E Hamilton Ave Fresno, California",36.7245752,-119.7409002
3,2,5507 Everhart Manor Ln,Katy,2019-07-03,,,Texas,"5507 Everhart Manor Ln Katy, Texas",29.7177492,-95.7969688
4,0,6250 Page Ave,Saint Louis (Wellston),2019-07-02,,,Missouri,"6250 Page Ave Saint Louis (Wellston), Missouri",38.6712314,-90.2935766
4,0,1200 block of N Luzerne Ave,Baltimore,2019-07-01,,,Maryland,"1200 block of N Luzerne Ave Baltimore, Maryland",39.3049145,-76.5815013
4,0,3000 block of Brookdale Ave,Oakland,2019-06-30,,,California,"3000 block of Brookdale Ave Oakland, California",37.7923842,-122.2155092
5,0,12700 block of California St,Yucaipa,2019-06-30,,,California,"12700 block of California St Yucaipa, California",34.0229051,-117.0392103
2,2,3535 Munger Ave,Dallas,2019-06-30,,,Texas,"3535 Munger Ave Dallas, Texas",32.7996454,-96.7889161
6,0,Farragut Ave,Bay Shore,2019-06-30,,,New York,"Farragut Ave Bay Shore, New York",40.7470069,-73.2598539
4,0,Judson St and Martin St,Hartford,2019-06-29,,,Connecticut,"Judson St and Martin St Hartford, Connecticut",41.7893425,-72.6799544
4,0,2700 block of W Park Ave,Gray,2019-06-29,,,Louisiana,"2700 block of W Park Ave Gray, Louisiana",29.70844809999999,-90.7912856
5,0,2400 block of W Jackson Blvd,Chicago,2019-06-29,,,Illinois,"2400 block of W Jackson Blvd Chicago, Illinois",41.8775787,-87.68655679999999
7,0,7132 Florida Blvd,Baton Rouge,2019-06-29,,,Louisiana,"7132 Florida Blvd Baton Rouge, Louisiana",30.4511151,-91.1157084
4,0,50 block of Jefferson St,Paterson,2019-06-28,,,New Jersey,"50 block of Jefferson St Paterson, New Jersey",40.925607,-74.1711459
5,0,937 Choate Ave,Hamden,2019-06-28,,,Connecticut,"937 Choate Ave Hamden, Connecticut",41.4219256,-72.9375733
7,0,Ira St and Bass St SW,Atlanta,2019-06-28,,,Georgia,"Ira St and Bass St SW Atlanta, Georgia",33.7356464,-84.3999789
4,0,167 Armstrong Ave,Jersey City,2019-06-28,,,New Jersey,"167 Armstrong Ave Jersey City, New Jersey",40.7027234,-74.0873666
5,0,909 Desoto St,Saint Paul,2019-06-28,,,Minnesota,"909 Desoto St Saint Paul, Minnesota",44.9686583,-93.08146239999999
7,0,600 block of Parkway Dr,Atlanta,2019-06-27,,,Georgia,"600 block of Parkway Dr Atlanta, Georgia",33.7708803,-84.3730704
3,1,900 block of Rowe St,Akron,2019-06-26,,,Ohio,"900 block of Rowe St Akron, Ohio",41.0539403,-81.50205430000001
4,0,2800 block of N 34th St,Milwaukee,2019-06-26,,,Wisconsin,"2800 block of N 34th St Milwaukee, Wisconsin",43.069893,-87.9559
0,5,568 Habbitts Court,San Jose,2019-06-23,,,California,"568 Habbitts Court San Jose, California",37.3010716,-121.8417386
10,1,1150 E Mishawaka Ave,South Bend,2019-06-23,,,Indiana,"1150 E Mishawaka Ave South Bend, Indiana",41.6663769,-86.2330984
5,0,1767 Genessee Ave,Columbus,2019-06-23,,,Ohio,"1767 Genessee Ave Columbus, Ohio",40.0187554,-82.9634088
3,1,7500 block of Draper Ave,La Jolla,2019-06-23,,,California,"7500 block of Draper Ave La Jolla, California",32.8397061,-117.2761051
1,3,1108 Cambridge St,Abbeville,2019-06-23,,,South Carolina,"1108 Cambridge St Abbeville, South Carolina",34.1886181,-82.3578659
4,0,1st St and E Pembroke Ave,Hampton,2019-06-22,,,Virginia,"1st St and E Pembroke Ave Hampton, Virginia",37.0408053,-76.3038861
4,0,2400 block of Moore St,Philadelphia,2019-06-22,,,Pennsylvania,"2400 block of Moore St Philadelphia, Pennsylvania",39.9300578,-75.185302
4,1,800 block of N Port St,Baltimore,2019-06-22,,,Maryland,"800 block of N Port St Baltimore, Maryland",39.3001719,-76.58326819999999
3,1,1506 N Charles St,Saginaw,2019-06-21,,,Michigan,"1506 N Charles St Saginaw, Michigan",43.4296369,-83.9677083
4,0,6300 block of S King Dr,Chicago,2019-06-21,,,Illinois,"6300 block of S King Dr Chicago, Illinois",41.7792315,-87.6160233
0,5,519  West Taylor St,Santa Maria,2019-06-21,,,California,"519  West Taylor St Santa Maria, California",34.9757003,-120.442204
5,0,700 block of 14th St,Richmond,2019-06-21,,,California,"700 block of 14th St Richmond, California",37.9421263,-122.356409
10,0,343 Hamilton St,Allentown,2019-06-20,,,Pennsylvania,"343 Hamilton St Allentown, Pennsylvania",40.6050018,-75.4629204
4,1,700 block of Dr Martin Luther King Jr Blvd,Newark,2019-06-18,,,New Jersey,"700 block of Dr Martin Luther King Jr Blvd Newark, New Jersey",40.7282439,-74.18265439999999
4,0,E Market St and Tower of the Americas Way,San Antonio,2019-06-17,,,Texas,"E Market St and Tower of the Americas Way San Antonio, Texas",29.4213971,-98.48100219999999
5,0,2872 Coach Dr,Memphis,2019-06-17,,,Tennessee,"2872 Coach Dr Memphis, Tennessee",35.2040498,-89.92514299999999
5,1,2910 S 70th St,Philadelphia,2019-06-16,,,Pennsylvania,"2910 S 70th St Philadelphia, Pennsylvania",39.9123634,-75.2337768
6,1,Dixie Highway and Ormsby Ave,Louisville,2019-06-16,,,Kentucky,"Dixie Highway and Ormsby Ave Louisville, Kentucky",38.2354477,-85.7875766
6,0,1200 block of Sampson St,Des Moines,2019-06-16,,,Iowa,"1200 block of Sampson St Des Moines, Iowa",41.6008703,-93.5927032
4,0,2500 block of Hollywood Ave,Shreveport,2019-06-15,,,Louisiana,"2500 block of Hollywood Ave Shreveport, Louisiana",32.4570365,-93.77755979999999
3,1,305 N Graham St,Charlotte,2019-06-12,,,North Carolina,"305 N Graham St Charlotte, North Carolina",35.2326744,-80.8444375
4,0,12500 block of E Kansas Pl,Aurora,2019-06-11,,,Colorado,"12500 block of E Kansas Pl Aurora, Colorado",39.6947905,-104.84322
2,2,6900 Block of Damascus Rd,Savannah,2019-06-11,,,Georgia,"6900 Block of Damascus Rd Savannah, Georgia",32.0044661,-81.0727251
3,1,17218 Tarkington Ave,Cleveland,2019-06-09,,,Ohio,"17218 Tarkington Ave Cleveland, Ohio",41.4292685,-81.5616993
4,0,2081 Niagara St,Buffalo,2019-06-09,,,New York,"2081 Niagara St Buffalo, New York",42.9411261,-78.90535220000001
3,1,265 N Main St,Henning,2019-06-09,,,Tennessee,"265 N Main St Henning, Tennessee",35.673603,-89.572743
2,5,5151 Medicine Valley Rd,White Swan,2019-06-08,,,Washington,"5151 Medicine Valley Rd White Swan, Washington",46.4225286,-120.823627
4,0,3500 block of W North Ave,Chicago,2019-06-08,,,Illinois,"3500 block of W North Ave Chicago, Illinois",41.910373,-87.714219
5,0,8220 TX-71,Austin,2019-06-07,,,Texas,"8220 TX-71 Austin, Texas",30.2475924,-97.8863259
3,1,2500 block of N Lake Shore Dr,Chicago,2019-06-06,,,Illinois,"2500 block of N Lake Shore Dr Chicago, Illinois",41.9284979,-87.6321816
4,0,828 W 9th Street,Santa Rosa,2019-06-05,,,California,"828 W 9th Street Santa Rosa, California",38.440738,-122.734969
5,0,473 Main St S,Allendale,2019-06-01,,,South Carolina,"473 Main St S Allendale, South Carolina",33.0038021,-81.31506739999999
4,0,300 block of East Chicago Ave,Chicago,2019-06-01,,,Illinois,"300 block of East Chicago Ave Chicago, Illinois",41.8971228,-87.6180143
3,1,1100 block of Mt Vernon Ave,Portsmouth,2019-06-01,,,Virginia,"1100 block of Mt Vernon Ave Portsmouth, Virginia",36.8363657,-76.33598239999999
4,0,5600 block of West Madison St,Chicago,2019-06-01,,,Illinois,"5600 block of West Madison St Chicago, Illinois",41.8807263,-87.7650676
5,0,12 Broad Street,Atlanta,2019-06-01,,,Georgia,"12 Broad Street Atlanta, Georgia",33.7547072,-84.391403
4,2,Suzanne Dr and Robinson Dr,Macon,2019-06-01,,,Georgia,"Suzanne Dr and Robinson Dr Macon, Georgia",32.842935,-83.69167159999999
3,1,306 N Hollow Ave,West Covina,2019-05-31,,,California,"306 N Hollow Ave West Covina, California",34.0754405,-117.936319
4,13,2405 Courthouse Drive,Virginia Beach,2019-05-31,,,Virginia,"2405 Courthouse Drive Virginia Beach, Virginia",36.7510164,-76.0574123
5,0,14000 block of Grace Ave,Robbins,2019-05-30,,,Illinois,"14000 block of Grace Ave Robbins, Illinois",41.6383,-87.7058314
2,3,26311 TX-321,Cleveland,2019-05-29,,,Texas,"26311 TX-321 Cleveland, Texas",30.3255657,-95.0500946
3,1,300 block of Homewood Place,Reserve,2019-05-29,,,Louisiana,"300 block of Homewood Place Reserve, Louisiana",30.0686267,-90.54504209999999
2,2,5900 block of Goodfellow Blvd,Saint Louis,2019-05-27,,,Missouri,"5900 block of Goodfellow Blvd Saint Louis, Missouri",38.7134398,-90.2547683
5,0,1200 block of Sumner Rd SE,Washington,2019-05-27,,,District of Columbia,"1200 block of Sumner Rd SE Washington, District of Columbia",38.8610967,-76.9972344
5,1,100 block of Walnut St,Trenton,2019-05-27,,,New Jersey,"100 block of Walnut St Trenton, New Jersey",40.2209606,-74.74892
3,1,3509 Wheeler Rd SE,Washington,2019-05-26,,,District of Columbia,"3509 Wheeler Rd SE Washington, District of Columbia",38.839294,-76.994089
5,0,800 block of Alvis Road,La Crosse,2019-05-26,,,Virginia,"800 block of Alvis Road La Crosse, Virginia",36.6090478,-78.0273745
3,1,600 block of E Oak St,Stockton,2019-05-26,,,California,"600 block of E Oak St Stockton, California",37.959817,-121.2848589
9,0,225 Brunswick Ave,Trenton,2019-05-25,,,New Jersey,"225 Brunswick Ave Trenton, New Jersey",40.228236,-74.761387
2,3,3400 block of Devonshire,Detroit,2019-05-25,,,Michigan,"3400 block of Devonshire Detroit, Michigan",42.3901533,-82.93441059999999
9,1,Holly Cove Dr and Schooner Trail,Chesapeake,2019-05-25,,,Virginia,"Holly Cove Dr and Schooner Trail Chesapeake, Virginia",36.79987060000001,-76.39959
4,0,500 block of N Belnord Ave,Baltimore,2019-05-25,,,Maryland,"500 block of N Belnord Ave Baltimore, Maryland",39.297176,-76.57885999999999
5,0,N Kelley Ave and NE 26th St,Oklahoma City,2019-05-25,,,Oklahoma,"N Kelley Ave and NE 26th St Oklahoma City, Oklahoma",35.4968358,-97.4944349
2,2,8118 E 16th St,Tulsa,2019-05-20,,,Oklahoma,"8118 E 16th St Tulsa, Oklahoma",36.1383481,-95.8856563
4,1,1900 block of Bacon Street,Alexandria,2019-05-20,,,Louisiana,"1900 block of Bacon Street Alexandria, Louisiana",31.2863527,-92.4558442
4,0,2424 Sullivant Ave,Columbus,2019-05-20,,,Ohio,"2424 Sullivant Ave Columbus, Ohio",39.9456086,-83.0634663
5,0,226 SE Madison St,Portland,2019-05-19,,,Oregon,"226 SE Madison St Portland, Oregon",45.5127145,-122.6630883
4,1,700 Leverette Ln,Cascilla,2019-05-18,,,Mississippi,"700 Leverette Ln Cascilla, Mississippi",33.8848664,-90.1201993
8,1,100 Martin Luther King Avenue,Atmore,2019-05-18,,,Alabama,"100 Martin Luther King Avenue Atmore, Alabama",31.0317151,-87.4796355
6,1,2410 W. Euclid Ave,Muncie,2019-05-18,,,Indiana,"2410 W. Euclid Ave Muncie, Indiana",40.2073182,-85.4147845
4,1,1616 West Pacific Coast Highway,Long Beach,2019-05-18,,,California,"1616 West Pacific Coast Highway Long Beach, California",33.7896205,-118.2142617
2,2,70 Kirkwood Ct SW,Cedar Rapids,2019-05-18,,,Iowa,"70 Kirkwood Ct SW Cedar Rapids, Iowa",41.9216506,-91.65544249999999
4,0,2825 Y St,Omaha,2019-05-18,,,Nebraska,"2825 Y St Omaha, Nebraska",41.1974141,-95.9558886
4,2,4252 Cody Drive,Winston Salem (Winston-salem),2019-05-18,,,North Carolina,"4252 Cody Drive Winston Salem (Winston-salem), North Carolina",36.1501676,-80.2511164
3,1,7326 Stockton Blvd,Sacramento,2019-05-17,,,California,"7326 Stockton Blvd Sacramento, California",38.491292,-121.428066
4,0,9500 Cardwell Ave,Cleveland,2019-05-16,,,Ohio,"9500 Cardwell Ave Cleveland, Ohio",41.4347721,-81.61740089999999
4,0,100 block of St. Rose Ave,Saint Rose,2019-05-15,,,Louisiana,"100 block of St. Rose Ave Saint Rose, Louisiana",29.9458519,-90.3167828
4,0,1248 W 47th St,Los Angeles,2019-05-14,,,California,"1248 W 47th St Los Angeles, California",34.0003559,-118.2973649
4,0,2100 block of 4th St,New Orleans,2019-05-13,,,Louisiana,"2100 block of 4th St New Orleans, Louisiana",29.9355721,-90.0882232
1,4,4047 Shreve Ave,Saint Louis,2019-05-13,,,Missouri,"4047 Shreve Ave Saint Louis, Missouri",38.6773917,-90.24340590000001
4,0,Toll Rd and Bayberry Rd,Effort,2019-05-11,,,Pennsylvania,"Toll Rd and Bayberry Rd Effort, Pennsylvania",40.9813323,-75.47401669999999
5,0,1900 block of N Croskey St,Philadelphia,2019-05-10,,,Pennsylvania,"1900 block of N Croskey St Philadelphia, Pennsylvania",39.9836125,-75.1712474
6,0,4000 block of Ashland Ave,Saint Louis,2019-05-10,,,Missouri,"4000 block of Ashland Ave Saint Louis, Missouri",38.662662,-90.22655309999999
4,0,Roache St and Rader St,Indianapolis,2019-05-08,,,Indiana,"Roache St and Rader St Indianapolis, Indiana",39.8046292,-86.1780773
8,1,8773 S Ridgeline Blvd,Littleton (Highlands Ranch),2019-05-07,,,Colorado,"8773 S Ridgeline Blvd Littleton (Highlands Ranch), Colorado",39.55595950000001,-104.997907
4,1,2033 45th Street,North Bergen,2019-05-05,,,New Jersey,"2033 45th Street North Bergen, New Jersey",40.7846566,-74.03520809999999
6,0,1001 Cabrillo Hwy,Oceano,2019-05-05,,,California,"1001 Cabrillo Hwy Oceano, California",35.1124953,-120.6255738
4,1,Union Blvd and Northland Ave,Saint Louis,2019-05-04,,,Missouri,"Union Blvd and Northland Ave Saint Louis, Missouri",38.6713502,-90.26379279999999
4,0,101 W Maryland St,Indianapolis,2019-05-04,,,Indiana,"101 W Maryland St Indianapolis, Indiana",39.7651971,-86.16046960000001
4,1,5105 Holiday Dr,Stockton,2019-05-04,,,California,"5105 Holiday Dr Stockton, California",38.0012191,-121.2972424
4,0,W 27th St and Tatnall St,Wilmington,2019-05-04,,,Delaware,"W 27th St and Tatnall St Wilmington, Delaware",39.75579099999999,-75.5356448
3,1,5400 Cedar Springs Rd,Dallas,2019-05-03,,,Texas,"5400 Cedar Springs Rd Dallas, Texas",32.823074,-96.828402
5,0,1900 block of Ramsay St,Baltimore,2019-05-03,,,Maryland,"1900 block of Ramsay St Baltimore, Maryland",39.2833043,-76.64717999999999
4,0,2500 block of E Biddle St,Baltimore,2019-05-03,,,Maryland,"2500 block of E Biddle St Baltimore, Maryland",39.3049337,-76.58251709999999
3,1,32 Windermere Rd,Boston,2019-05-01,,,Massachusetts,"32 Windermere Rd Boston, Massachusetts",42.31385050000001,-71.0626363
4,2,9214 South Library Ln,Charlotte,2019-04-30,,,North Carolina,"9214 South Library Ln Charlotte, North Carolina",35.305966,-80.730937
7,0,1407 Dr DB Todd Jr Blvd,Nashville,2019-04-28,,,Tennessee,"1407 Dr DB Todd Jr Blvd Nashville, Tennessee",36.1719359,-86.8079063
4,0,514 19th St Ensley,Birmingham,2019-04-28,,,Alabama,"514 19th St Ensley Birmingham, Alabama",33.512937,-86.896118
7,1,2544 Edmondson Ave,Baltimore,2019-04-28,,,Maryland,"2544 Edmondson Ave Baltimore, Maryland",39.2949057,-76.6577434
0,4,4637 Wyndtree Dr,West Chester,2019-04-28,,,Ohio,"4637 Wyndtree Dr West Chester, Ohio",39.3507965,-84.4674582
3,1,700 block of Monterey St,Jackson,2019-04-27,,,Mississippi,"700 block of Monterey St Jackson, Mississippi",32.2763824,-90.22716559999999
3,1,16934 Chabad Way,Poway,2019-04-27,,,California,"16934 Chabad Way Poway, California",33.0191414,-117.0531582
6,0,700 N San Fernando Rd,Los Angeles,2019-04-27,,,California,"700 N San Fernando Rd Los Angeles, California",34.0895046,-118.2263927
4,0,1500 block of South 31st St,Philadelphia,2019-04-21,,,Pennsylvania,"1500 block of South 31st St Philadelphia, Pennsylvania",39.9352439,-75.19571560000001
5,0,761 Chestnut Ave,Memphis,2019-04-20,,,Tennessee,"761 Chestnut Ave Memphis, Tennessee",35.1020499,-90.0373019
4,0,2900 block of Sunrise Ave,Corpus Christi,2019-04-20,,,Texas,"2900 block of Sunrise Ave Corpus Christi, Texas",27.7827971,-97.42226529999999
4,0,1628 S George Washington Blvd,Wichita,2019-04-19,,,Kansas,"1628 S George Washington Blvd Wichita, Kansas",37.6638692,-97.29991299999999
4,0,4000 block of Bells Ln,Louisville,2019-04-18,,,Kentucky,"4000 block of Bells Ln Louisville, Kentucky",38.2227219,-85.8223184
3,1,18700 block of Curry Powder Ln,Germantown,2019-04-16,,,Maryland,"18700 block of Curry Powder Ln Germantown, Maryland",39.162339,-77.264707
4,0,2539 E Main St,Stockton,2019-04-14,,,California,"2539 E Main St Stockton, California",37.9549561,-121.2509449
2,2,NW 19th Ave and 60th St,Miami,2019-04-14,,,Florida,"NW 19th Ave and 60th St Miami, Florida",25.8297859,-80.2288686
3,1,100 block of Princeton Ave,Vallejo,2019-04-14,,,California,"100 block of Princeton Ave Vallejo, California",38.1505918,-122.251364
4,0,23500 block of Alessandro Blvd,Moreno Valley,2019-04-13,,,California,"23500 block of Alessandro Blvd Moreno Valley, California",33.9173401,-117.2524156
4,0,119 N Washington St,Carbondale,2019-04-12,,,Illinois,"119 N Washington St Carbondale, Illinois",37.728101,-89.2151068
3,1,2200 block of Ruskin Ave,Baltimore,2019-04-11,,,Maryland,"2200 block of Ruskin Ave Baltimore, Maryland",39.31516390000001,-76.6479425
2,3,7112 W Minnezona Ave,Phoenix,2019-04-11,,,Arizona,"7112 W Minnezona Ave Phoenix, Arizona",33.504031,-112.2121516
4,1,E 103rd St and S Main St,Los Angeles,2019-04-11,,,California,"E 103rd St and S Main St Los Angeles, California",33.9428494,-118.2738951
3,1,5339 Michigan Ave,Kansas City,2019-04-09,,,Missouri,"5339 Michigan Ave Kansas City, Missouri",39.029042,-94.56286569999999
